Team,Date,Time,Hours
医学フットサル同好会,2026-01-01,08:30–11:00,2.5
ULISバドミントン部,2026-01-01,11:00–13:30,2.5
中国留学生学友会,2026-01-01,13:30–16:00,2.5
SPIKERS'inc,2026-01-01,16:00–18:30,2.5
ULISバレーボール部,2026-01-01,18:30–21:00,2.5
ULISバレーボール部,2026-01-02,08:30–11:00,2.5
中国留学生学友会,2026-01-02,11:00–13:30,2.5
SPIKERS'inc,2026-01-02,13:30–16:00,2.5
ULISバドミントン部,2026-01-02,16:00–19:00,3.0
KickChat T-ACT ,2026-01-03,13:00–14:30,1.5
ULISバレーボール部,2026-01-03,14:30–16:00,1.5
中国留学生学友会,2026-01-03,16:00–17:30,1.5
SPIKERS'inc,2026-01-03,17:30–19:00,1.5
ULISバドミントン部,2026-01-03,19:00–21:00,2.0
ULISバドミントン部,2026-01-04,08:30–10:30,2.0
SPIKERS'inc,2026-01-04,10:30–12:30,2.0
医学フットサル同好会,2026-01-04,12:30–14:30,2.0
中国留学生学友会,2026-01-04,14:30–16:30,2.0
ULISバレーボール部,2026-01-04,16:30–18:30,2.0
KickChat T-ACT ,2026-01-04,18:30–21:00,2.5
医学フットサル同好会,2026-01-05,16:30–18:00,1.5
ULISバレーボール部,2026-01-10,17:00–19:00,2.0
医学フットサル同好会,2026-01-10,19:00–21:00,2.0
ULISバドミントン部,2026-01-11,11:00–13:00,2.0
ULISバレーボール部,2026-01-11,13:00–15:00,2.0
KickChat T-ACT ,2026-01-11,15:00–17:00,2.0
中国留学生学友会,2026-01-11,17:00–19:00,2.0
SPIKERS'inc,2026-01-11,19:00–21:00,2.0
SPIKERS'inc,2026-01-12,08:30–10:30,2.0
中国留学生学友会,2026-01-12,10:30–13:00,2.5
ULISバレーボール部,2026-01-12,13:00–15:30,2.5
ULISバドミントン部,2026-01-12,15:30–18:00,2.5
中国留学生学友会,2026-01-19,08:30–10:00,1.5
ULISバドミントン部,2026-01-19,10:00–12:00,2.0
医学フットサル同好会,2026-01-19,12:00–14:00,2.0
SPIKERS'inc,2026-01-19,14:00–16:00,2.0
ULISバレーボール部,2026-01-19,16:00–18:00,2.0
ULISバドミントン部,2026-01-21,13:30–15:00,1.5
医学フットサル同好会,2026-01-21,15:00–16:30,1.5
中国留学生学友会,2026-01-21,16:30–18:00,1.5
ULISバレーボール部,2026-01-25,11:00–13:00,2.0
SPIKERS'inc,2026-01-25,13:00–17:00,4.0
ULISバドミントン部,2026-01-25,17:00–19:00,2.0
中国留学生学友会,2026-01-25,19:00–21:00,2.0
医学フットサル同好会,2026-01-26,16:30–18:00,1.5
医学フットサル同好会,2026-01-31,17:00–19:00,2.0
中国留学生学友会,2026-01-31,19:00–21:00,2.0
